id,month_series,month,study,table,cohort,sex,measure,treatment,z,SE,SD,SD_lower,SD_upper,absolute,unit,abs_SD,abs_SD_lower,abs_SD_upper,abs_SE,months_treated_gnrha,age,age_0,n,baseline,baseline_SE,baseline_SD,abs_per,abs_per_SE
31,0,0,Schagen,2,M_late,M,hip_aBMD,GnRHa,-0.43,0.16,0.96,-0.59,-0.27,0.93,g/cm^2,0.05099019513592785,0.8790098048640722,0.9809901951359279,0.01,24,14.1,14.1,36,-0.43,NA,NA,1,0.01075268817204301
31,24,24,Schagen,2,M_late,M,hip_aBMD,GnRHa,-1.01,0.15,0.8999999999999999,-1.16,-0.86,0.89,g/cm^2,0.1019803902718557,0.7880196097281443,0.9919803902718557,0.02,24,16.1,14.1,36,-0.43,NA,NA,0.9569892473118279,0.02150537634408602
54,0,0,Schagen,4,M_late,M,hip_aBMD,Estrogen,-0.86,0.14,0.7138627319029899,-1,-0.72,0.88,g/cm^2,0.12,0.76,1,0.02,21.6,16.2,16.2,26,-0.43,0.16,0.96,1,0.022727272727272728
54,36,36,Schagen,4,M_late,M,hip_aBMD,Estrogen,-0.7,0.18,0.9178235124467011,-0.8799999999999999,-0.52,0.96,g/cm^2,0.12,0.84,1.08,0.02,21.6,19.2,16.2,26,-0.43,0.16,0.96,1.0909090909090908,0.022727272727272728
32,0,0,Schagen,2,M_late,M,body_BMD,GnRHa,-0.51,0.16,0.96,-0.67,-0.35,1.03,g/cm^2,0.05099019513592785,0.9790098048640722,1.080990195135928,0.01,24,14.1,14.1,36,-0.51,NA,NA,1,0.009708737864077669
32,24,24,Schagen,2,M_late,M,body_BMD,GnRHa,-1.62,0.15,0.8999999999999999,-1.77,-1.4700000000000002,1.01,g/cm^2,0.05099019513592785,0.9590098048640722,1.060990195135928,0.01,24,16.1,14.1,36,-0.51,NA,NA,0.9805825242718447,0.009708737864077669
55,0,0,Schagen,4,M_late,M,body_BMD,Estrogen,-1.42,0.14,0.7138627319029899,-1.56,-1.2799999999999998,0.96,g/cm^2,0.05099019513592785,0.9090098048640721,1.010990195135928,0.01,21.6,16.2,16.2,26,-0.51,0.16,0.96,1,0.010416666666666668
55,36,36,Schagen,4,M_late,M,body_BMD,Estrogen,-1.48,0.18,0.9178235124467011,-1.66,-1.3,0.98,g/cm^2,0.2039607805437114,0.7760392194562886,1.1839607805437113,0.04,21.6,19.2,16.2,26,-0.51,0.16,0.96,1.0208333333333333,0.04166666666666667
34,0,0,Schagen,2,M_late,M,spine_BMAD,GnRHa,-0.65,0.2,1.2000000000000002,-0.8500000000000001,-0.45,0.2,g/cm^3,0.06,0.14,0.26,0.01,24,14.1,14.1,36,-0.65,NA,NA,1,0.049999999999999996
34,24,24,Schagen,2,M_late,M,spine_BMAD,GnRHa,-1.21,0.22,1.32,-1.43,-0.99,0.21,g/cm^3,0,0.21,0.21,0,24,16.1,14.1,36,-0.65,NA,NA,1.0499999999999998,0
