id,month,study,table,cohort,sex,measure,treatment,z,SD,SD_lower,SD_upper,SE,absolute,unit,abs_SD,abs_SD_lower,abs_SD_upper,abs_SE,months_treated,age,age_0,n,baseline
43,0,Vlot,2,F_old,F,spine_BMAD,GnRHa,0.27,0.8500000000000001,-0.5800000000000001,1.12,0.17723725194851359,0.26,g/cm^3,0.019999999999999997,0.24000000000000002,0.28,0.004170288281141495,14,15.1,15.1,23,0.27
43,14,Vlot,2,F_old,F,spine_BMAD,GnRHa,-0.29,0.7949999999999999,-1.085,0.5049999999999999,0.16576895917537443,0.24,g/cm^3,0.020000000000000004,0.21999999999999997,0.26,0.004170288281141497,14,16.3,15.1,23,0.27
44,0,Vlot,2,M_young,M,hip_BMAD,GnRHa,-0.71,0.93,-1.6400000000000001,0.22000000000000008,0.2325,0.29,g/cm^3,0.0325,0.25749999999999995,0.3225,0.008125,30,13.5,13.5,16,-0.71
44,30,Vlot,2,M_young,M,hip_BMAD,GnRHa,-1.32,0.9,-2.22,-0.42000000000000004,0.225,0.27,g/cm^3,0.0325,0.23750000000000002,0.3025,0.008125,30,16,13.5,16,-0.71
45,0,Vlot,2,M_young,M,spine_BMAD,GnRHa,-0.2,0.75,-0.95,0.55,0.19364916731037085,0.21,g/cm^3,0.019999999999999997,0.19,0.22999999999999998,0.005163977794943222,30,13.5,13.5,15,-0.2
45,30,Vlot,2,M_young,M,spine_BMAD,GnRHa,-1.52,0.695,-2.215,-0.8250000000000001,0.17944822837427696,0.2,g/cm^3,0.015,0.185,0.21500000000000002,0.0038729833462074164,30,16,13.5,15,-0.2
46,0,Vlot,2,M_old,M,hip_BMAD,GnRHa,-0.44,0.5750000000000001,-1.0150000000000001,0.13500000000000006,0.23474276701672128,0.3,g/cm^3,0.024999999999999994,0.275,0.32499999999999996,0.010206207261596574,30,13.5,13.5,6,-0.44
46,30,Vlot,2,M_old,M,hip_BMAD,GnRHa,-0.36,0.49,-0.85,0.13,0.2000416623272929,0.3,g/cm^3,0.020000000000000004,0.27999999999999997,0.32,0.008164965809277263,30,16,13.5,6,-0.44
47,0,Vlot,2,M_old,M,spine_BMAD,GnRHa,-1.18,0.7175,-1.8975,-0.4624999999999999,0.3208757547712198,0.22,g/cm^3,0.0175,0.2025,0.2375,0.007826237921249264,30,13.5,13.5,5,-1.18
47,30,Vlot,2,M_old,M,spine_BMAD,GnRHa,-1.15,0.5725,-1.7225,-0.5774999999999999,0.2560297834237259,0.22,g/cm^3,0.012499999999999997,0.20750000000000002,0.23249999999999998,0.0055901699437494725,30,16,13.5,5,-1.18
